FilingDate,PeriodEnd,AmortizationOfIntangibleAssets,BusinessCombinationBargainPurchaseGainRecognizedAmount,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DeferredIncomeTaxExpenseBenefit,DepreciationAmortizationAndAccretionNet,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EquitySecuritiesGainLossOnShareExchange,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,GainLossOnInvestments,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndOtherLiabilities,IncreaseDecreaseInAccruedInterestsAndAccountsReceivable,IncreaseDecreaseInAssetBackedCommercialPaper,IncreaseDecreaseInBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,IncreaseDecreaseInCashCollateralForBorrowedSecurities,IncreaseDecreaseInDeposits,IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInTradingLiabilities,InterestPaid,InterestPaidNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherNoncashIncomeExpense,OtherOperatingActivitiesCashFlowStatement,PaymentsForOriginationAndPurchasesOfLoansHeldForSale,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStockAndWarrants,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStockIssuedToUsTreasury,PaymentsOfDividends,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireHeldToMaturitySecurities,PaymentsforOtherLoansandLeases,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromPaymentsForFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResellNet,ProceedsFromPaymentsForInInterestBearingDepositsInBanks,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromPaymentsForOtherLoansAndLeases,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfFinanceReceivables,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,ProceedsFromSalesSecuritizationsAndPaydownsOfLoansHeldForSale,ProceedsFromShortTermDebt,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLeaseAndOtherLossesExcludingAccountingPolicyConformity,RepaymentsOfLongTermDebtAndCapitalSecurities,RepaymentsOfShortTermDebt,ShareBasedCompensation,StockRedeemedOrCalledDuringPeriodValue
2017-02-28,2013-12-31,,,,,39771000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,2014-12-31,,,,-11940000000,27831000000,,,4362000000,4759000000,-1125000000,,,,,,1392000000,6058000000,3637000000,,-834000000,-1020000000,89346000000,10905000000,24814000000,9166000000,26818000000,8194000000,,118228000000,-165636000000,36593000000,21745000000,-2113000000,314000000,67525000000,,51749000000,-2181000000,,4760000000,,,6990000000,121504000000,,,10345000000,,,78515000000,8847000000,90664000000,4169000000,30848000000,-168426000000,-768000000,,9242000000,,38411000000,,,20115000000,71407000000,,3139000000,,65275000000,,,
2017-02-28,2015-12-31,,,,-7341000000,20490000000,,,1333000000,4940000000,-276000000,,,,,,9423000000,-23361000000,-22664000000,,-5632000000,-12165000000,-88678000000,-39415000000,-62212000000,3701000000,-28972000000,7220000000,,-187511000000,106980000000,73466000000,24442000000,-1785000000,-5122000000,48109000000,,108962000000,-3703000000,,5616000000,,,7873000000,70804000000,,,6204000000,,,79611000000,5893000000,76448000000,6099000000,3190000000,144462000000,-726000000,,-57828000000,,40444000000,,,18604000000,49363000000,,3827000000,,67247000000,,,
2017-02-28,2016-12-31,,,,3383000000,23873000000,,,4651000000,5478000000,-135000000,,,,,,2405000000,3740000000,5815000000,,-5707000000,-2313000000,97336000000,13007000000,20007000000,4517000000,5198000000,9508000000,,98271000000,-114949000000,20196000000,24733000000,-1799000000,-1827000000,61107000000,,80996000000,2825000000,,9082000000,,,8476000000,123959000000,,,143000000,,,83070000000,0,65950000000,6218000000,-17468000000,-25747000000,-467000000,,-2461000000,,48592000000,,,15429000000,60196000000,,5361000000,,68949000000,,,
2018-02-27,2014-12-31,,,,,27831000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,2015-12-31,,,,-7341000000,20490000000,,,1333000000,4940000000,-276000000,,,,,,9423000000,-23361000000,-22664000000,,-5632000000,-12165000000,-88678000000,-39415000000,-62212000000,3701000000,-28972000000,7220000000,,-187511000000,106980000000,73466000000,24442000000,-1785000000,-5122000000,48109000000,,108962000000,-3703000000,5616000000,,0,,7873000000,70804000000,,,6204000000,,,79611000000,5893000000,76448000000,6099000000,3190000000,144462000000,-726000000,,,-57828000000,40444000000,,,18604000000,49363000000,,3827000000,,67247000000,,,
2018-02-27,2016-12-31,,,,3383000000,23873000000,,,4651000000,5478000000,-135000000,,,,,,2405000000,3740000000,5815000000,,-5707000000,-2313000000,97336000000,13007000000,20007000000,4517000000,5198000000,9508000000,,98271000000,-114949000000,20196000000,24733000000,-1799000000,-1827000000,61107000000,,80996000000,2825000000,9082000000,,0,,8476000000,123959000000,,,143000000,,,83070000000,0,65950000000,6218000000,-17468000000,-25747000000,-467000000,,,-2461000000,48592000000,,,15429000000,60196000000,,5361000000,,68949000000,,,
2018-02-27,2017-12-31,,,,1954000000,25827000000,,,2312000000,6179000000,96000000,,,,,,4325000000,-8518000000,15868000000,,-1377000000,8653000000,57022000000,-6739000000,-5673000000,-4318000000,-26256000000,14153000000,,14642000000,-10283000000,-2501000000,24441000000,-2136000000,7803000000,94628000000,,61650000000,563000000,15410000000,,1258000000,,8993000000,105309000000,,,2349000000,,,56271000000,1258000000,56117000000,4563000000,31448000000,-38532000000,407000000,,,16540000000,90201000000,,,15791000000,93270000000,,5290000000,,83079000000,,,
2019-02-26,2015-12-31,,,361683000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26,2016-12-31,,,391154000000,29471000000,,,,4651000000,5478000000,-1482000000,,,,,,2405000000,5087000000,5815000000,,-5707000000,-2313000000,97336000000,13007000000,20007000000,4176000000,5198000000,,9508000000,98271000000,-89202000000,21884000000,24733000000,-1799000000,-1827000000,61107000000,,,2825000000,9082000000,,0,,8476000000,,123959000000,,143000000,80996000000,,83070000000,0,65950000000,6218000000,-17468000000,,-467000000,,,,,48592000000,,15429000000,60196000000,109000000,5361000000,,68949000000,2461000000,,
